datetime;open;high;low;close
2026-03-19 20:20:00;1.15822;1.15831;1.15821;1.15828
2026-03-19 20:15:00;1.15834;1.15835;1.15819;1.15822
2026-03-19 20:10:00;1.15846;1.1588;1.15822;1.15834
2026-03-19 20:05:00;1.15837;1.15866;1.15837;1.15849
2026-03-19 20:00:00;1.158;1.15863;1.15792;1.15843
2026-03-19 19:55:00;1.15839;1.15847;1.15797;1.15802
2026-03-19 19:50:00;1.15874;1.1588;1.15823;1.15838
2026-03-19 19:45:00;1.15835;1.15884;1.15835;1.15875
2026-03-19 19:40:00;1.15874;1.15898;1.15837;1.15837
2026-03-19 19:35:00;1.15929;1.15933;1.15862;1.15874
2026-03-19 19:30:00;1.16022;1.16023;1.1592;1.15931
2026-03-19 19:25:00;1.16087;1.16108;1.16016;1.1602
2026-03-19 19:20:00;1.16081;1.16164;1.16055;1.16092
2026-03-19 19:15:00;1.16001;1.1611;1.15994;1.16073
2026-03-19 19:10:00;1.15891;1.16021;1.15891;1.15995
2026-03-19 19:05:00;1.15675;1.15915;1.15675;1.15895
2026-03-19 19:00:00;1.15579;1.15713;1.15576;1.15685
2026-03-19 18:55:00;1.15546;1.15577;1.15545;1.15577
2026-03-19 18:50:00;1.15569;1.15573;1.1554;1.15545
2026-03-19 18:45:00;1.15599;1.15602;1.15564;1.1557
2026-03-19 18:40:00;1.15599;1.15607;1.15596;1.15601
2026-03-19 18:35:00;1.1556;1.15598;1.15559;1.15598
2026-03-19 18:30:00;1.15575;1.15575;1.15516;1.15559
2026-03-19 18:25:00;1.15564;1.1559;1.15556;1.15572
2026-03-19 18:20:00;1.15571;1.15595;1.15559;1.15565
2026-03-19 18:15:00;1.15602;1.15604;1.15552;1.15568
2026-03-19 18:10:00;1.15606;1.15649;1.15593;1.15601
2026-03-19 18:05:00;1.15586;1.15629;1.15565;1.15616
2026-03-19 18:00:00;1.15579;1.15622;1.15572;1.15588
2026-03-19 17:55:00;1.15568;1.15589;1.15559;1.15574
2026-03-19 17:50:00;1.15596;1.15597;1.15552;1.15567
2026-03-19 17:45:00;1.15575;1.15596;1.15575;1.15594
2026-03-19 17:40:00;1.15507;1.15587;1.15501;1.15577
2026-03-19 17:35:00;1.15455;1.15505;1.15455;1.15502
2026-03-19 17:30:00;1.15392;1.15456;1.15392;1.15455
2026-03-19 17:25:00;1.15409;1.15411;1.1538;1.15395
2026-03-19 17:20:00;1.15362;1.15476;1.15359;1.15411
2026-03-19 17:15:00;1.15283;1.1536;1.15283;1.1536
2026-03-19 17:10:00;1.15297;1.15303;1.15242;1.15284
2026-03-19 17:05:00;1.15334;1.15344;1.15298;1.153
2026-03-19 17:00:00;1.15293;1.15349;1.15289;1.15336
2026-03-19 16:55:00;1.15339;1.1534;1.15289;1.1529
2026-03-19 16:50:00;1.15335;1.1534;1.15325;1.15339
2026-03-19 16:45:00;1.15314;1.15353;1.15311;1.15338
2026-03-19 16:40:00;1.1527;1.15319;1.15266;1.15315
2026-03-19 16:35:00;1.15279;1.15286;1.15247;1.15267
2026-03-19 16:30:00;1.15239;1.15351;1.15239;1.15279
2026-03-19 16:25:00;1.15223;1.15273;1.15223;1.15251
2026-03-19 16:20:00;1.15141;1.15249;1.15136;1.15223
2026-03-19 16:15:00;1.15096;1.15163;1.15096;1.15137
2026-03-19 16:10:00;1.15049;1.151;1.15049;1.151
2026-03-19 16:05:00;1.15027;1.1506;1.15024;1.15053
2026-03-19 16:00:00;1.15045;1.15052;1.15024;1.15029
2026-03-19 15:55:00;1.15074;1.15077;1.15016;1.15049
2026-03-19 15:50:00;1.15076;1.15107;1.15073;1.15073
2026-03-19 15:45:00;1.15088;1.15105;1.15066;1.15082
2026-03-19 15:40:00;1.15165;1.15174;1.15084;1.15088
2026-03-19 15:35:00;1.1527;1.1527;1.15162;1.15164
2026-03-19 15:30:00;1.15274;1.15314;1.15267;1.15267
2026-03-19 15:25:00;1.15315;1.15318;1.15251;1.1528
2026-03-19 15:20:00;1.15189;1.15358;1.15185;1.15318
2026-03-19 15:15:00;1.15169;1.15186;1.1514;1.15186
2026-03-19 15:10:00;1.15185;1.15188;1.15162;1.1517
2026-03-19 15:05:00;1.15166;1.15203;1.15165;1.15186
2026-03-19 15:00:00;1.15142;1.15172;1.15132;1.15166
2026-03-19 14:55:00;1.1516;1.15163;1.15139;1.15142
2026-03-19 14:50:00;1.15172;1.15177;1.15161;1.15161
2026-03-19 14:45:00;1.15061;1.15189;1.15056;1.15175
2026-03-19 14:40:00;1.15054;1.15058;1.15039;1.15057
2026-03-19 14:35:00;1.15151;1.15153;1.15017;1.15055
2026-03-19 14:30:00;1.15141;1.15151;1.15106;1.15151
2026-03-19 14:25:00;1.15168;1.15172;1.15113;1.15141
2026-03-19 14:20:00;1.15231;1.15235;1.15145;1.1517
